capability,jev-1.13.0
abstraction_level_matching,0.29179999999999995
accessibility_semantics_from_source,0.30080000000000007
accounting_reasonableness,0.38730000000000003
action_item_assignment,0.017000000000000015
action_item_extraction_verification,-0.035600000000000076
ad_policy_violation,-0.005900000000000016
adversarial_agent_reasoning,0.10070000000000001
adversarial_example_detection,0.2217
algorithm_data_structure_appropriateness,0.04820000000000002
allergen_present,-0.028900000000000037
analogy_validity,0.08840000000000003
animal_affordance_constraint_reasoning,0.10970000000000002
answerability_from_provided_context,0.1402
api_contract_compatibility,0.2185999999999999
app_review_intent,0.08220000000000005
base_rate_awareness,-0.08940000000000003
bayesian_evidence_updating,0.25149999999999995
benchmark_contamination_clues,0.09160000000000001
biological_signal_understanding,0.11099999999999999
biological_system_reasoning,-0.0806
booking_accounting_mapping,0.13090000000000002
boundary_condition_judgement,0.029199999999999893
budget_consistency,0.137
business_process_conformance,0.2349
cache_correctness,0.18720000000000003
calendar_time_zone_understanding,0.45790000000000003
calibration_under_ambiguity,0.044600000000000084
capacity_planning,0.25720000000000004
category_error_detection,0.04730000000000001
causal_chain_validation,0.19879999999999998
change_risk_judgement,0.4283
character_goal_consistency,-0.03600000000000003
churn_risk,0.04139999999999999
city_service_request,0.017100000000000004
claim_entailment,0.21939999999999993
class_label_leakage_detection,0.010299999999999976
code_quality_judgements,0.04349999999999998
code_requirement_satisfaction,0.3073
code_review_intent,0.038799999999999946
code_switch_understanding,0.06730000000000003
cognitive_bias_illogic_detection,0.05049999999999999
command_line_semantics,0.04160000000000008
commercial_price_plausibility,0.0675
commit_intent,0.018799999999999928
comparative_judgement_transitivity,0.11970000000000003
comparative_language_reasoning,0.061000000000000054
compatibility_matching,-0.08850000000000002
competing_hypothesis_discrimination,0.3035
complexity_estimation,0.03920000000000001
concurrency_correctness,0.07630000000000003
confidence_vs_evidence_consistency,0.19340000000000002
configuration_correctness,0.17370000000000008
consistency_under_irrelevant_context_insertion,0.35839999999999994
consistency_under_option_permutation,0.008199999999999985
consistency_under_paraphrase,0.19130000000000003
constraint_satisfaction_judgement,0.035499999999999976
contains_pii,-0.0042999999999999705
contains_spoiler,0.016599999999999948
content_moderation,0.0816
content_type,0.05899999999999994
contract_clause_consistency,0.06279999999999997
contract_clause_type,0.006000000000000005
contradiction_resolution,0.047900000000000054
conversation_state_tracking,0.015000000000000013
counterfactual_plausibility,0.06430000000000002
cross_document_reconciliation,0.008399999999999963
cross_domain_synthesis,0.0989000000000001
data_migration_correctness,0.11509999999999998
data_quality_validation,0.25029999999999997
database_query_reasoning,0.11670000000000003
dataset_example_quality,-0.08579999999999999
decision_robustness,0.3945000000000001
definition_adherence,-0.02870000000000006
delivery_exception,0.025999999999999912
dependency_api_existence_judgements,0.2027
dialogue_coherence,0.14479999999999993
dietary_vegan,-0.05010000000000003
dimensional_consistency,-0.0040000000000000036
distributed_systems_consistency,0.24450000000000005
document_consistency,0.2257
document_field_association,0.013900000000000023
document_type,0.005499999999999949
document_type_classification,0.08040000000000003
document_workflow_state,0.04610000000000003
domain_identification,0.037799999999999945
dominated_information_detection,0.16190000000000004
email_intent,0.010599999999999943
email_intent_hard,0.025499999999999967
email_thread_state_understanding,-0.054500000000000104
embodied_affordances,0.08879999999999999
embodied_animal_understanding,0.1392
embodied_emotions,0.4226
embodied_time_aware_world_views,0.021400000000000086
embodied_unknowns,-0.06710000000000005
emotion_cause_attribution,0.007000000000000006
entity_resolution,0.11549999999999994
environment_portability_judgements,0.08840000000000003
error_handling_quality,0.2912
evidence_provenance,0.11409999999999998
evidence_sufficiency,-0.06559999999999999
expected_utility_decisions,0.39749999999999996
expense_category,0.016900000000000026
experimental_design_judgement,0.27370000000000005
expertise_level_estimation_of_text,0.10159999999999991
explanation_necessity_judgement,0.03280000000000005
explanation_quality_judgement,0.1795
fact_vs_inference_classification,0.02080000000000004
failure_mode_classification,0.1422
fair_housing_violation,0.02300000000000002
forecast_consistency,0.05010000000000003
form_completeness,0.263
formality_level,0.10929999999999995
fraud_scam_likelihood,0.2974
frustration_level,0.046800000000000064
frustration_level_hard,0.10289999999999999
game_theory_judgements,0.32789999999999997
gaming_report_type,0.03639999999999999
geographical_consistency,-0.11909999999999998
geometry_and_embodied_navigation,0.1789
glossary_adherence,0.009299999999999975
gpqa_diamond,0.30150000000000005
grammar_issue,0.18330000000000002
grammar_judgement,0.049000000000000044
granularity_selection,0.09389999999999998
graph_knowledge,0.0044999999999999485
graph_logic,0.3343
graph_path_relevance,0.12990000000000002
hallucination_detection,0.05689999999999995
hard_reasoning,0.2359
hazmat_shipping,-0.08609999999999995
historical_anachronism_detection,0.15859999999999996
historical_fact_verification,-0.03179999999999994
home_service_routing,0.01639999999999997
human_vs_machine_task_suitability,0.11539999999999995
humor_explanation_correctness,0.13670000000000004
idempotency_judgements,0.1661999999999999
incident_severity,0.07669999999999999
incident_severity_hard,0.13690000000000002
information_acquisition_value,0.30720000000000003
information_density_judgement,0.3058
information_retrieval_relevance,0.04139999999999999
insurance_claim_priority,0.1252000000000001
invariant_detection,0.08499999999999996
inventory_decisions,0.18909999999999993
invoice_anomaly_detection,0.022299999999999986
language_dialect_identification,0.05469999999999997
lead_qualification,0.09539999999999993
live_data_requirement,0.008199999999999985
local_rule_over_world_knowledge_judgement,-0.036799999999999944
log_event_sequence_diagnosis,-0.016800000000000037
long_context_distractor_resistance,0.005499999999999949
math_quantitative_decisions,0.3165
measurement_uncertainty_reasoning,0.19740000000000002
mechanical_system_reasoning,0.2031
mechanism_vs_pattern_distinction,0.0766
medical_chronology_consistency,0.04999999999999993
medical_differential_reasoning_benchmarks,0.02290000000000003
meeting_conflict,0.2551
minimal_sufficient_explanation_selection,0.05410000000000004
mood_atmosphere_understanding,0.054300000000000015
multi_criteria_scoring_consistency,0.006300000000000083
multi_label_topic_classification,-0.03500000000000003
narrative_next_event_plausibility,0.03180000000000005
needle_set_retrieval,0.6645000000000001
negation_polarity_tracking,0.06710000000000005
negotiation_judgements,0.5246
news_topic,0.005299999999999971
noisy_ocr_reconstruction,0.07309999999999994
object_permanence_state_tracking,0.015100000000000002
observability_adequacy,0.2723
ocr_ngram_based_text_recognition,0.006000000000000005
oncall_route,0.011200000000000099
ontology_taxonomy_consistency,0.14930000000000004
oos_abstention_ambiguity,0.09099999999999997
open_source_license_compatibility,0.19030000000000002
operational_urgency,0.3355
order_of_magnitude_reasoning,0.2005
pairwise_preference_prediction,0.2612
parallelization_suitability,0.33729999999999993
pareto_optimal_decision_taking,0.1825
patch_diff_correctness,0.4738
performance_bottleneck_attribution,0.18090000000000006
persona_consistency,0.1451
phishing_email,0.006399999999999961
physical_commonsense,0.027799999999999936
pii_sensitive_data_classification,0.0012000000000000899
pragmatic_intent_understanding,0.12
preference_learning_from_explicit_examples,0.3449
prioritization_under_constraints,0.1312000000000001
probability_calibration_language,0.2631
probability_support_judgement,0.22630000000000006
product_catalog_matching,0.0726
program_behavior_prediction,0.0726
quantifier_reasoning_in_natural_text,0.035499999999999976
question_duplicate,-0.04599999999999993
rationale_to_answer_consistency,0.1986
reading_level,-0.0011999999999999789
recipe_cuisine,0.02059999999999995
recommendation_reranking_quality,0.23549999999999993
record_deduplication,0.07729999999999998
recoverability_judgement,0.11609999999999998
redundancy_detection,0.2293
reference_coreference_resolution,0.1725
refund_eligible,-0.12050000000000005
refund_eligible_hard,0.056700000000000084
regex_pattern_correctness,0.07079999999999997
regression_likelihood_judgement,0.18409999999999999
relationship_permission_reasoning,0.053300000000000014
requirement_traceability,0.3328
resource_planning,0.48979999999999996
return_reason,0.02980000000000005
reversibility_destructiveness,0.24880000000000002
review_sentiment,0.09740000000000004
review_sentiment_hard,0.16160000000000008
root_cause_attribution,0.1562
route_feasibility,0.46540000000000004
routing_intent_support_priority,0.0515000000000001
